feature,mean_absolute_shap_value
age,0.041006051569687674
education-num,0.040898474002545926
marital-status_Married-civ-spouse,0.03677887696423198
hours-per-week,0.021778854792337744
marital-status_Never-married,0.02164159375708776
capital-gain,0.020482808218068523
marital-status_Divorced,0.010248946787894382
relationship_Wife,0.009489327020120704
sex_Female,0.008554503749702963
occupation_Other-service,0.008383322849514405
capital-loss,0.008139563192477687
relationship_Own-child,0.007934657149791377
occupation_Exec-managerial,0.006401492081812745
relationship_Not-in-family,0.005391622509681655
relationship_Husband,0.0051580985273170865
occupation_Prof-specialty,0.0036602100830208984
relationship_Unmarried,0.003470792194065766
occupation_Handlers-cleaners,0.003207020485640641
occupation_Adm-clerical,0.003154127297354295
occupation_Transport-moving,0.0030303409568773905
education_12th,0.0027083207510317144
marital-status_Married-spouse-absent,0.0025003469985567395
occupation_Machine-op-inspct,0.00243731157773704
workclass_Private,0.002295256525544889
native-country_Mexico,0.0021516750259743507
education_Doctorate,0.0020472269904607625
occupation_Farming-fishing,0.0019650864931572464
education_HS-grad,0.0018005138881267372
workclass_Federal-gov,0.0017031068660759358
occupation_Sales,0.0016774985348135716
race_Other,0.001648337459148963
education_Assoc-acdm,0.0016458211740372564
workclass_State-gov,0.001581819808882832
race_Black,0.0015504276956082575
workclass_Local-gov,0.0015054009234278117
native-country_Philippines,0.0014037564263360827
occupation_Craft-repair,0.0012990146778659136
education_10th,0.0012866618052284546
education_Some-college,0.0011673081984777496
workclass_Self-emp-inc,0.0010559065963857961
education_Prof-school,0.001050220485092524
fnlwgt,0.0010069286874383303
relationship_Other-relative,0.000995376555897951
occupation_Tech-support,0.0008874581598965718
native-country_Puerto-Rico,0.0008704463393673336
education_11th,0.0008492801662476919
native-country_Poland,0.0007951055107443542
sex_Male,0.0007268499862697129
marital-status_Widowed,0.0007235366346155271
native-country_United-States,0.0007119354333884149
race_Amer-Indian-Eskimo,0.0006812129693078846
native-country_Guatemala,0.0006523525841007162
occupation_Protective-serv,0.0006492529642897728
race_White,0.0006258474111433792
education_Masters,0.0006075048376211533
marital-status_Separated,0.0005297006396798584
race_Asian-Pac-Islander,0.0005055830275575193
education_7th-8th,0.00044352298429420003
workclass_Self-emp-not-inc,0.00044120698117806596
education_9th,0.0004054590571205307
native-country_Japan,0.00034589812753926114
education_Bachelors,0.000319971600360281
education_Assoc-voc,0.00031991280196173427
workclass_Without-pay,0.0
occupation_Armed-Forces,0.0
marital-status_Married-AF-spouse,0.0
education_Preschool,0.0
education_5th-6th,0.0
education_1st-4th,0.0
native-country_Canada,0.0
occupation_Priv-house-serv,0.0
native-country_Cambodia,0.0
native-country_England,0.0
native-country_El-Salvador,0.0
native-country_Ecuador,0.0
native-country_Dominican-Republic,0.0
native-country_Cuba,0.0
native-country_Columbia,0.0
native-country_China,0.0
native-country_Germany,0.0
native-country_Hong,0.0
native-country_Hungary,0.0
native-country_Iran,0.0
native-country_France,0.0
native-country_Haiti,0.0
native-country_Holand-Netherlands,0.0
native-country_Honduras,0.0
native-country_Greece,0.0
native-country_Laos,0.0
native-country_Jamaica,0.0
native-country_Italy,0.0
native-country_Ireland,0.0
native-country_India,0.0
native-country_Peru,0.0
native-country_Nicaragua,0.0
native-country_Outlying-US(Guam-USVI-etc),0.0
native-country_Portugal,0.0
native-country_Scotland,0.0
native-country_Taiwan,0.0
native-country_South,0.0
native-country_Thailand,0.0
native-country_Trinadad&Tobago,0.0
native-country_Vietnam,0.0
native-country_Yugoslavia,0.0
